"Date","Chamber","CO2_lin_kg/ha/day","CO2_expon_kg/ha/day","CH4_lin_g/ha/day","CH4_expon_g/ha/day","N2O_lin_g/ha/day","N2O_expon_g/ha/day","Topo"
2015-05-21 10:57:59,1,32.0902674,259.09881515,30.1310818,415.95932572,-27.62798557,-269.77259492,"Ridge"
2015-05-21 11:08:55,2,223.6340426,467.74785844,214.77642658,594.42031803,-32.53968113,-38.46345221,"Slope"
2015-05-21 11:19:43,3,93.95816253,141.01460203,312.84648221,1150.93970009,-32.79796152,-50.19732167,"Valley"
2015-05-21 11:30:34,4,79.80572545,266.68154379,276.33925887,1549.6838135,-35.1410519,-83.88569926,"Ridge"
2015-05-21 11:41:25,5,178.17627808,300.54014247,273.84258135,965.98219875,-38.92622779,-54.87173197,"Slope"
2015-05-21 11:52:05,6,74.15693821,261.56519625,267.51065562,2436.42835038,-25.81230555,-104.71357425,"Valley"
2015-05-21 12:03:03,7,87.9298053,330.40084289,101.29541239,2953.39768134,-24.09259618,-135.20235979,"Ridge"
2015-05-21 12:13:54,8,121.39831336,217.32192528,302.47703832,1069.17966734,-33.43787077,-52.71014896,"Slope"
2015-05-21 12:24:43,9,50.33536694,489.1452752,139.85779034,3429.75058412,-21.5532967,-139.54422138,"Valley"
2015-05-21 13:26:23,2,186.61895641,502.16644879,-9.6557252,-9.64254732,-4.02921496,-38.73820712,"Slope"
2015-05-21 13:39:46,3,40.24834672,83.14937323,35.33422533,321.82907226,-2.54551267,-2.53606299,"Valley"
2015-05-21 13:53:06,4,38.27333684,82.22957293,18.08182846,717.61319371,-1.28101684,-33.50158638,"Ridge"
2015-05-21 14:06:27,5,159.52630771,310.97825288,-30.60084276,-30.59108171,-3.78048333,-13.12277895,"Slope"
2015-05-21 14:19:46,7,68.23915049,118.42480669,-31.38339304,-31.37372515,-2.06621983,-28.99914831,"Ridge"
2015-05-21 14:33:06,8,84.06373928,191.04099407,7.71517792,194.15164015,-1.98316509,-9.24986787,"Slope"
2015-05-21 14:46:29,9,37.84583666,85.38678568,33.23760635,398.15575903,-2.59636652,-8.90334504,"Valley"
2015-05-21 14:59:30,2,227.08262304,421.35743404,-25.18711793,-25.35725529,-1.80776807,-7.67972116,"Slope"
2015-05-21 15:12:50,3,38.52839322,77.40664588,14.30274968,84.03192922,0.6602799,0.65727328,"Valley"
2015-05-21 15:26:09,4,36.25054514,70.50734397,26.02572616,86.24678634,0.13981021,0.13957846,"Ridge"
2015-05-21 15:39:30,5,145.46651373,330.66282729,-35.51498132,-62.19164576,-0.58778622,-176.29378484,"Slope"
2015-05-21 15:52:49,7,66.81593047,93.68760766,-27.46273585,-27.60324956,-0.7233377,-1.55257737,"Ridge"
2015-05-21 16:06:10,8,80.46130521,162.86695069,-1.79717014,-1.79348998,-1.61746872,-1.62152273,"Slope"
2015-05-21 16:19:29,9,31.42951434,57.20424878,10.78543062,219.58761739,-0.50504015,-0.50423429,"Valley"
2015-05-21 18:34:52,2,205.84605598,424.53181806,-12.38131538,-12.55160713,-3.45788092,-4.12166703,"Slope"
2015-05-21 18:48:11,3,40.04283682,49.21568873,83.7668064,83.88519047,2.60052542,2.60857301,"Valley"
2015-05-21 19:01:30,4,43.55877384,65.49707975,11.43391305,379.98946492,-1.22257534,-42.22030902,"Ridge"
