Date,DayCount,Transect,TopoLocation,O2,O2_pct,SoilMoisture,SoilMoisture_pct,Drought
11/14/14 23:00,1,1,1,0.177987779,17.79877787,0.328333333,32.83333333,Pre-drought
11/14/14 23:00,1,1,2,0.169667755,16.9667755,0.318066667,31.80666667,Pre-drought
11/14/14 23:00,1,1,3,0.169505998,16.95059982,0.3838,38.38,Pre-drought
11/14/14 23:00,1,1,4,0.137438521,13.74385214,0.4658,46.58,Pre-drought
11/14/14 23:00,1,1,5,0.169565616,16.95656159,0.3872,38.72,Pre-drought
11/14/14 23:00,1,1,6,0.131760504,13.1760504,0.4788,47.88,Pre-drought
11/14/14 23:00,1,1,7,0.003200009,0.320000896,0.4928,49.28,Pre-drought
11/14/14 23:00,1,2,1,0.173000363,17.30003633,0.451133333,45.11333333,Pre-drought
11/14/14 23:00,1,2,2,0.186645729,18.66457289,0.3518,35.18,Pre-drought
11/14/14 23:00,1,2,3,0.191618179,19.16181794,0.397466667,39.74666667,Pre-drought
11/14/14 23:00,1,2,4,0.174468171,17.44681707,0.403333333,40.33333333,Pre-drought
11/14/14 23:00,1,2,5,0.158163957,15.81639569,0.404866667,40.48666667,Pre-drought
11/14/14 23:00,1,2,6,0.144015692,14.40156916,0.403866667,40.38666667,Pre-drought
11/14/14 23:00,1,2,7,0,0,0.525,52.5,Pre-drought
11/14/14 23:00,1,3,1,0.17180562,17.180562,0.3812,38.12,Pre-drought
11/14/14 23:00,1,3,2,0.180629741,18.06297408,0.4282,42.82,Pre-drought
11/14/14 23:00,1,3,3,0.181292665,18.12926653,0.3942,39.42,Pre-drought
11/14/14 23:00,1,3,4,0.164666508,16.46665077,0.431066667,43.10666667,Pre-drought
11/14/14 23:00,1,3,5,0.164623969,16.46239689,0.4458,44.58,Pre-drought
11/14/14 23:00,1,3,6,0.162989139,16.29891392,0.447133333,44.71333333,Pre-drought
11/14/14 23:00,1,3,7,0,0,0.525,52.5,Pre-drought
11/14/14 23:00,1,4,1,0.182285622,18.22856223,0.449933333,44.99333333,Pre-drought
11/14/14 23:00,1,4,2,0.167414078,16.74140783,0.439066667,43.90666667,Pre-drought
11/14/14 23:00,1,4,3,0.170991944,17.09919438,0.232866667,23.28666667,Pre-drought
11/14/14 23:00,1,4,4,0.171709034,17.17090338,0.411933333,41.19333333,Pre-drought
11/14/14 23:00,1,4,5,0.17678725,17.67872496,0.3462,34.62,Pre-drought
11/14/14 23:00,1,4,6,0.156644777,15.66447771,0.410466667,41.04666667,Pre-drought
11/14/14 23:00,1,4,7,0.023087256,2.308725613,0.488866667,48.88666667,Pre-drought
11/14/14 23:00,1,5,1,0.183585431,18.3585431,0.3448,34.48,Pre-drought
11/14/14 23:00,1,5,2,0.186558105,18.6558105,0.363933333,36.39333333,Pre-drought
11/14/14 23:00,1,5,3,0.161421358,16.14213585,0.463466667,46.34666667,Pre-drought
11/14/14 23:00,1,5,4,0.159579529,15.95795286,0.4534,45.34,Pre-drought
11/14/14 23:00,1,5,5,0.147365118,14.73651182,0.421933333,42.19333333,Pre-drought
11/14/14 23:00,1,5,6,0.170640194,17.06401938,0.446533333,44.65333333,Pre-drought
11/14/14 23:00,1,5,7,0,0,0.525,52.5,Pre-drought
11/15/14 23:00,2,1,1,0.182462394,18.24623935,0.338785714,33.87857143,Pre-drought
11/15/14 23:00,2,1,2,0.169959871,16.99598709,0.321142857,32.11428571,Pre-drought
11/15/14 23:00,2,1,3,0.169077439,16.90774392,0.387571429,38.75714286,Pre-drought
11/15/14 23:00,2,1,4,0.139394942,13.93949416,0.474142857,47.41428571,Pre-drought
11/15/14 23:00,2,1,5,0.173852923,17.38529228,0.399071429,39.90714286,Pre-drought
11/15/14 23:00,2,1,6,0.135832108,13.58321081,0.482214286,48.22142857,Pre-drought
11/15/14 23:00,2,1,7,0.045882436,4.588243586,0.499285714,49.92857143,Pre-drought
